snap,gas,star,total,halo
139,104796585.792,5495388.66085,1234788731.66,3
225,270049814.87,8675703.12364,2874210344.1,8
275,349348971.948,13411749.3032,3683397822.77,10
640,2136576452.46,46893957.802,13961971026.0,13
974,4759457618.76,275080764.592,39187222733.8,6
1024,4726606257.3,349572785.346,43383114087.1,4
1269,5071926726.98,621401086.93,57096362912.1,4
1280,5058919640.61,629855003.171,57273129599.0,4
1408,4670204111.77,713895717.804,56000567862.1,3
1740,4702994828.57,818999824.635,58933577368.4,3
2048,4848548491.87,899600203.984,63724049804.2,4
2088,4891646703.37,911286470.166,64376240402.7,4
2432,4925332093.25,981372489.279,69153766359.8,4
2688,4856397509.67,1056038393.78,70036427985.1,4
2816,4409772404.47,1093660243.81,59533105002.4,4
2944,4239593070.39,1143908370.71,56886436236.1,4
3072,4207885811.47,1191398993.13,61661929423.6,3
3195,4002911227.18,1242832903.58,58628505550.4,3
3200,3997690737.57,1244976641.23,58529597990.4,3
3328,3898138182.0,1287999879.46,56380854530.1,3
3456,3772747585.49,1323911973.91,54405403686.0,3
3584,3362697075.03,1362166277.41,41124549157.2,3
3606,3321326246.33,1368717356.5,38903210289.9,3
3712,3262752204.38,1402101942.14,44107517776.6,3
3840,3198022278.9,1441901581.62,49915466734.9,3
3968,3093419589.36,1473913771.44,49154386343.2,3
4096,2983605593.03,1502495240.77,48580055355.0,3
