snap,gas,star,total,halo,BH,r[kpc]
139,103975974.566,438230.282796,643753891.838,14,205063.239305,240.352242798
225,133939812.942,1488729.23484,1150912987.02,27,205179.418702,319.036983923
275,333306604.678,2941068.60851,2749268267.37,19,205183.812215,355.09028767
640,527099549.264,35861459.3191,6105762389.01,26,205617.650868,547.616966472
974,1676530465.9,158964176.234,24665944917.6,10,206062.666729,653.815639286
1024,1647291496.76,167261166.982,25647221111.2,10,206139.373591,664.631009584
1269,1807749441.11,175895166.799,27974985715.3,7,206410.956229,708.136187957
1280,1810774251.05,176365702.852,28079058906.3,7,206414.879995,708.648953025
1408,1901761593.97,181224920.113,29707732168.2,6,206584.49998,726.282089835
1740,2272167909.2,187824113.306,35577864706.4,6,206839.710566,745.627551334
2048,2258210161.44,205264291.968,38509590775.4,6,207568.68827,731.831208604
2088,2240267241.06,210939011.629,38786722290.4,6,207678.968201,723.091713314
2432,2160380705.11,233618750.288,40622650774.7,5,208436.172151,674.137194416
2688,2038106881.13,249717479.003,41126385156.5,5,208722.662337,607.026268045
2816,2000198646.14,256824382.195,41330646921.3,5,208836.907483,566.99961904
2944,1942521942.43,263591022.157,41469067339.5,5,208908.847799,520.725568573
3072,1800269222.96,269873352.604,41253584081.8,5,209010.036752,468.437773764
3195,1525235324.6,276018334.297,40850676140.4,5,209252.412201,411.758042544
3200,1518437919.66,276218501.011,40841620615.2,5,209253.697097,408.428729838
3328,1323609358.3,282514244.172,40454178472.7,5,209557.070529,342.410128348
3456,1271261053.56,288679674.445,30572601304.8,6,209746.585666,279.236538214
3584,1197225087.0,297234749.518,31364469190.4,6,209959.546686,254.578272228
3606,1194473050.02,298543139.573,33020843423.0,6,210047.292595,256.055409725
3712,1142967704.17,305280728.921,33666642387.1,6,210147.583503,313.321637586
3840,1087248695.03,313911292.37,31994541477.8,6,210323.517435,424.701389221
3968,1055638191.42,322016710.341,31369603766.8,6,210625.661237,536.548525303
4096,1012776517.91,331596785.792,30584764500.4,6,210788.041597,638.148943244
