snap,gas,star,total,halo
139,103975974.566,438230.282796,643753891.838,14
225,133939812.942,1488729.23484,1150912987.02,27
275,333306604.678,2941068.60851,2749268267.37,19
640,527099549.264,35861459.3191,6105762389.01,26
974,1676530465.9,158964176.234,24665944917.6,10
1024,1647291496.76,167261166.982,25647221111.2,10
1269,1807749441.11,175895166.799,27974985715.3,7
1280,1810774251.05,176365702.852,28079058906.3,7
1408,1901761593.97,181224920.113,29707732168.2,6
1740,2272167909.2,187824113.306,35577864706.4,6
2048,2258210161.44,205264291.968,38509590775.4,6
2088,2240267241.06,210939011.629,38786722290.4,6
2432,2160380705.11,233618750.288,40622650774.7,5
2688,2038106881.13,249717479.003,41126385156.5,5
2816,2000198646.14,256824382.195,41330646921.3,5
2944,1942521942.43,263591022.157,41469067339.5,5
3072,1800269222.96,269873352.604,41253584081.8,5
3195,1525235324.6,276018334.297,40850676140.4,5
3200,1518437919.66,276218501.011,40841620615.2,5
3328,1323609358.3,282514244.172,40454178472.7,5
3456,1271261053.56,288679674.445,30572601304.8,6
3584,1197225087.0,297234749.518,31364469190.4,6
3606,1194473050.02,298543139.573,33020843423.0,6
3712,1142967704.17,305280728.921,33666642387.1,6
3840,1087248695.03,313911292.37,31994541477.8,6
3968,1055638191.42,322016710.341,31369603766.8,6
4096,1012776517.91,331596785.792,30584764500.4,6
