snap,H[109] Gas,H[109] Star,H[109] Total,H[10] Gas,H[10] Star,H[10] Total,H[115] Gas,H[115] Star,H[115] Total,H[11] Gas,H[11] Star,H[11] Total,H[12] Gas,H[12] Star,H[12] Total,H[130] Gas,H[130] Star,H[130] Total,H[131] Gas,H[131] Star,H[131] Total,H[13] Gas,H[13] Star,H[13] Total,H[141] Gas,H[141] Star,H[141] Total,H[145] Gas,H[145] Star,H[145] Total,H[149] Gas,H[149] Star,H[149] Total,H[14] Gas,H[14] Star,H[14] Total,H[157] Gas,H[157] Star,H[157] Total,H[158] Gas,H[158] Star,H[158] Total,H[15] Gas,H[15] Star,H[15] Total,H[160] Gas,H[160] Star,H[160] Total,H[16] Gas,H[16] Star,H[16] Total,H[170] Gas,H[170] Star,H[170] Total,H[17] Gas,H[17] Star,H[17] Total,H[183] Gas,H[183] Star,H[183] Total,H[19] Gas,H[19] Star,H[19] Total,H[1] Gas,H[1] Star,H[1] Total,H[20] Gas,H[20] Star,H[20] Total,H[21] Gas,H[21] Star,H[21] Total,H[22] Gas,H[22] Star,H[22] Total,H[23] Gas,H[23] Star,H[23] Total,H[24] Gas,H[24] Star,H[24] Total,H[25] Gas,H[25] Star,H[25] Total,H[26] Gas,H[26] Star,H[26] Total,H[27] Gas,H[27] Star,H[27] Total,H[2] Gas,H[2] Star,H[2] Total,H[302] Gas,H[302] Star,H[302] Total,H[310] Gas,H[310] Star,H[310] Total,H[312] Gas,H[312] Star,H[312] Total,H[319] Gas,H[319] Star,H[319] Total,H[31] Gas,H[31] Star,H[31] Total,H[324] Gas,H[324] Star,H[324] Total,H[325] Gas,H[325] Star,H[325] Total,H[32] Gas,H[32] Star,H[32] Total,H[337] Gas,H[337] Star,H[337] Total,H[33] Gas,H[33] Star,H[33] Total,H[35] Gas,H[35] Star,H[35] Total,H[36] Gas,H[36] Star,H[36] Total,H[3] Gas,H[3] Star,H[3] Total,H[40] Gas,H[40] Star,H[40] Total,H[41] Gas,H[41] Star,H[41] Total,H[42] Gas,H[42] Star,H[42] Total,H[44] Gas,H[44] Star,H[44] Total,H[45] Gas,H[45] Star,H[45] Total,H[469] Gas,H[469] Star,H[469] Total,H[47] Gas,H[47] Star,H[47] Total,H[484] Gas,H[484] Star,H[484] Total,H[488] Gas,H[488] Star,H[488] Total,H[48] Gas,H[48] Star,H[48] Total,H[499] Gas,H[499] Star,H[499] Total,H[4] Gas,H[4] Star,H[4] Total,H[503] Gas,H[503] Star,H[503] Total,H[504] Gas,H[504] Star,H[504] Total,H[516] Gas,H[516] Star,H[516] Total,H[523] Gas,H[523] Star,H[523] Total,H[53] Gas,H[53] Star,H[53] Total,H[57] Gas,H[57] Star,H[57] Total,H[5] Gas,H[5] Star,H[5] Total,H[631] Gas,H[631] Star,H[631] Total,H[63] Gas,H[63] Star,H[63] Total,H[649] Gas,H[649] Star,H[649] Total,H[65] Gas,H[65] Star,H[65] Total,H[67] Gas,H[67] Star,H[67] Total,H[6] Gas,H[6] Star,H[6] Total,H[70] Gas,H[70] Star,H[70] Total,H[7] Gas,H[7] Star,H[7] Total,H[8] Gas,H[8] Star,H[8] Total,H[90] Gas,H[90] Star,H[90] Total,H[93] Gas,H[93] Star,H[93] Total,H[95] Gas,H[95] Star,H[95] Total,H[97] Gas,H[97] Star,H[97] Total,H[9] Gas,H[9] Star,H[9] Total
4096,,,,,,,,,,1139588130.39,135332344.929,10574577743.8,7503452.80862,104376733.617,9287775420.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67460004583e+11,1.88270265251e+11,2.10912325919e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2983605593.03,1502495240.77,48580055355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984413313.128,431322510.739,33280094068.2,,,,,,,0.0,119724.141995,80225972.3471,,,,,,,1012776517.91,331596785.792,30584764500.4,,,,,,,,,,,,,,,,,,,,,,,,
3968,,,,,,,,,,1193792825.96,128271939.268,11288723106.7,9882573.74956,104386453.11,9343441273.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69230839461e+11,1.83605054266e+11,2.08632591288e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3093419589.36,1473913771.44,49154386343.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017201692.15,422809591.294,34529910356.8,0.0,119724.165742,83447176.0023,,,,,,,,,,,,,1055638191.42,322016710.341,31369603766.8,,,,,,,,,,,,,,,,,,,,,,,,
3840,,,,1269441928.67,121524941.151,12280160977.7,,,,,,,12269978.0352,104403649.454,9364918790.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17017007.674,236991308.301,,,,,,,,,,1.69459678094e+11,1.79185474773e+11,2.05151856396e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3198022278.9,1441901581.62,49915466734.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067238239.47,412086242.029,35964216648.6,,,,,,,,,,0.0,119724.190783,105444606.09,,,,,,,,,,,,,,,,,,,,,,,,,1087248695.03,313911292.37,31994541477.8,,,,,,,,,,,,,,,,,,,,,,,,
3712,,,,1367263990.62,114190728.235,12878878468.1,,,,,,,15652048.0871,104429215.214,9386551657.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17335633.0381,256976229.52,,,,,,,,,,,,,,,,1.6836232899e+11,1.75300394812e+11,2.01608062825e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3262752204.38,1402101942.14,44107517776.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132068181.95,403154187.403,37734388248.1,,,,0.0,119724.217552,112607545.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142967704.17,305280728.921,33666642387.1,,,,,,,,,,,,,,,,,,,,,,,,
3606,,,,1435101875.7,109361892.796,13229125636.3,,,,,,,18124313.4243,104406176.278,9406887040.93,,,,,,,,,,,,,,,,,,,,,,0.0,17648875.6898,271996809.805,,,,,,,,,,,,,,,,,,,,,,,,,1.66349325916e+11,1.72339186206e+11,1.98882928985e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3321326246.33,1368717356.5,38903210289.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166049771.59,395176944.536,38962537313.3,0.0,119724.241298,114938680.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194473050.02,298543139.573,33020843423.0,,,,,,,,,,,,,,,,,,,,,,,,
3584,,,,1439406652.08,107726773.179,13289268347.3,,,,,,,18301286.2136,104396530.553,9411843789.18,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17720796.8483,275078013.304,,,,,,,,,,,,,,,,,,,,,,1.6575018543e+11,1.71708911255e+11,1.98097953787e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3362697075.03,1362166277.41,41124549157.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176715107.78,393300133.063,39182187523.1,0.0,119724.246479,115786365.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197225087.0,297234749.518,31364469190.4,,,,,,,,,,,,,,,,,,,,,,,,
3456,,,,,,,,,,1472311038.88,102333016.036,13642247696.6,,,,,,,,,,20369165.4564,104418977.699,9454877309.1,,,,,,,0.0,18467950.5738,309732573.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.626626741e+11,1.67358663941e+11,1.92970480014e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3772747585.49,1323911973.91,54405403686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,119724.277565,119812869.744,1241253653.18,384935858.797,40113639112.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271261053.56,288679674.445,30572601304.8,,,,,,,,,,,,,,,,,,,,,,,,
3328,,,,,,,,,,1472997512.12,96972737.0592,13507835676.1,,,,,,,,,,25483949.5958,104412212.347,9540388265.9,,,,0.0,19547836.8644,364852389.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60255589834e+11,1.62689287051e+11,1.87871731443e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3898138182.0,1287999879.46,56380854530.1,,,,,,,,,,,,,,,,,,,,,,0.0,119724.311242,124644675.225,,,,,,,,,,1302004047.19,376926862.568,40653969017.9,,,,,,,,,,,,,,,,,,,1323609358.3,282514244.172,40454178472.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,,,,1571989159.6,90961243.7725,14351441045.0,,,,,,,,,,,,,0.0,20798855.5726,436800350.881,29127108.9167,104399071.34,9735849437.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58902875212e+11,1.55579657263e+11,1.8368693136e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3997690737.57,1244976641.23,58529597990.4,,,,,,,,,,,,,,,,0.0,119724.347509,130324165.874,,,,,,,,,,,,,,,,1381414528.73,370712776.696,41155966954.9,,,,,,,,,,,,,,,,,,,1518437919.66,276218501.011,40841620615.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3195,,,,1578235648.45,90426666.7136,14452051311.1,,,,,,,,,,0.0,20839416.7834,441291259.214,,,,29298131.7318,104404100.386,9746875859.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58892660579e+11,1.55575843484e+11,1.83589028039e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002911227.18,1242832903.58,58628505550.4,,,,,,,,,,,,,,,,0.0,119724.348805,130493702.909,,,,,,,,,,,,,,,,1383237678.6,370582691.212,41166094486.7,,,,,,,,,,,,,,,,,,,1525235324.6,276018334.297,40850676140.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
